vote_id,knesset_num,session_id,sess_item_nbr,sess_item_id,sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,is_elctrnc_vote,vote_type,is_accepted,total_for,total_against,total_abstain,vote_stat,session_num,vote_nbr_in_sess,reason,modifier,remark,FilePath,CommitteeID,CommitteeName
33795,23,2150100,8,2085639,"חוק הבטחת הכנסה (תיקון מס` 55), התשפ""א-2020",102,אישור החוק,2020-12-07T00:00:00,18:43,1,1,1,67,0,0,1,110,10,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592030.pdf,2147,"ועדת העבודה, הרווחה והבריאות"
33829,23,2150102,70,2143627,"חוק הגז הפחמימני המעובה, התשפ""א-2020 ",102,אישור החוק,2020-12-09T00:00:00,21:07,1,1,1,4,0,0,1,112,24,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592903.pdf,2150,ועדת הכלכלה
33831,23,2150102,71,2150216,"חוק למניעת הסתננות (עבירות ושיפוט) (הוראות שעה - הארכת תוקף), התשפ""א-2020",102,אישור החוק,2020-12-09T00:00:00,21:13,1,1,1,4,0,0,1,112,26,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592329.pdf,2154,ועדת הפנים והגנת הסביבה
33842,23,2150576,10,2150292,"חוק המכינות הקדם-צבאיות (תיקון מס` 2), התשפ""א-2020 ",102,אישור החוק,2020-12-14T00:00:00,13:49,1,1,1,14,3,0,1,113,6,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592655.pdf,2149,"ועדת החינוך, התרבות והספורט"
33844,23,2150576,12,2150149,"חוק שירותי תעופה (פיצוי וסיוע בשל ביטול טיסה או שינוי בתנאיה) (נגיף הקורונה החדש ? הוראת שעה ? תיקון) (תיקון מס` 2), התשפ""א-2020 ",102,אישור החוק,2020-12-14T00:00:00,14:04,1,1,1,13,0,0,1,113,8,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592590.pdf,2150,ועדת הכלכלה
33846,23,2150576,11,2148547,"חוק הכשרות המשפטית והאפוטרופסות (תיקון מס` 19), התשפ""א-2020",102,אישור החוק,2020-12-14T00:00:00,14:38,1,1,1,34,0,0,1,113,10,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_592656.pdf,2156,הוועדה לקידום מעמד האישה ולשוויון מגדרי
33875,23,2150820,9,2150383,"חוק הרשות למאבק באלימות, בסמים ובאלכוהול (תיקון), התשפ""א-2020",102,אישור החוק,2020-12-21T00:00:00,18:53,1,1,1,35,21,0,1,116,7,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_593574.pdf,2154,ועדת הפנים והגנת הסביבה
33877,23,2150820,12,2150150,"חוק קליטת חיילים משוחררים (תיקון מס` 23), התשפ""א-2020 ",102,אישור החוק,2020-12-21T00:00:00,19:10,1,1,1,42,0,0,1,116,9,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_593522.pdf,2211,"ועדה משותפת לוועדת העבודה, הרווחה והבריאות וועדת העלייה, הקליטה והתפוצות לדיון בהצעת חוק קליטת חיילים משוחררים"
33880,23,2150820,14,2139622,"חוק עבודת נשים (תיקון מס` 62), התשפ""א-2020",102,אישור החוק,2020-12-21T00:00:00,19:31,1,1,1,33,27,0,1,116,12,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_593575.pdf,2156,הוועדה לקידום מעמד האישה ולשוויון מגדרי
33882,23,2150820,16,2150328,"חוק התקשורת (בזק ושידורים) (תיקון מס` 74), התשפ""א-2020",102,אישור החוק,2020-12-21T00:00:00,19:49,1,1,1,34,1,0,1,116,14,4,Unknown,,https://fs.knesset.gov.il//23/law/23_lsr_593573.pdf,2150,ועדת הכלכלה
