kmmbr_id,kmmbr_name,knesset_num,faction_id,faction_name,is_coalition,vip_id,mk_individual_first_name_eng,mk_individual_name_eng,Name,is_party_leader
495,אמנון כהן,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,495,Amnon,Cohen,Amnon Cohen,0
498,משולם נהרי,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,498,Meshulam,Nahari,Meshulam Nahari,0
488,יצחק וקנין,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,488,Yitzhak,Vaknin,Yitzhak Vaknin,0
501,יאיר פרץ,16,44,"ש""ס-התאחדות ספרדים שומרי תורה",0,501,Yair,Peretz,Yair Peretz,0
1055,אריה אלדד,16,45,האיחוד הלאומי-ישראל ביתנו,1,1055,Arieh,Eldad,Arieh Eldad,0
405,בנימין אלון,16,45,האיחוד הלאומי-ישראל ביתנו,1,405,Benyamin,Elon,Benyamin Elon,1
713,אורי יהודה אריאל,16,45,האיחוד הלאומי-ישראל ביתנו,1,713,Uri Yehuda,Ariel,Uri Yehuda Ariel,0
565,מיכאל נודלמן,16,45,האיחוד הלאומי-ישראל ביתנו,1,565,Michael,Nudelman,Michael Nudelman,0
412,צבי הנדל,16,45,האיחוד הלאומי-ישראל ביתנו,1,412,Zvi,Hendel,Zvi Hendel,0
430,יורי שטרן,16,45,האיחוד הלאומי-ישראל ביתנו,1,430,Yuri,Shtern,Yuri Shtern,0
421,אליעזר כהן,16,45,האיחוד הלאומי-ישראל ביתנו,1,421,Eliezer,Cohen,Eliezer Cohen,0
512,יוסי שריד,16,46,מרצ,0,512,Yossi,Sarid,Yossi Sarid,1
505,אבשלום וילן,16,46,מרצ,0,505,Avshalom,Vilan,Avshalom Vilan,0
1065,חיים אורון,16,46,מרצ,0,1065,Chaim,Oron,Chaim Oron,0
507,רן כהן,16,46,מרצ,0,507,Ran,Cohen,Ran Cohen,0
552,רומן ברונפמן,16,46,מרצ,0,552,Roman,Bronfman,Roman Bronfman,0
504,זהבה גלאון,16,46,מרצ,0,504,Zehava,Galon,Zehava Galon,0
493,דוד טל,16,47,עם אחד,0,493,David,Tal,David Tal,0
1063,אילנה כהן,16,47,עם אחד,0,1063,Ilana,Cohen,Ilana Cohen,0
557,עמיר פרץ,16,47,עם אחד,0,557,Amir,Peretz,Amir Peretz,1
526,משה גפני,16,48,יהדות התורה המאוחדת,0,526,Moshe,Gafni,Moshe Gafni,0
1057,ישראל אייכלר,16,48,יהדות התורה המאוחדת,0,1057,Israel,Eichler,Israel Eichler,0
531,אברהם רביץ,16,48,יהדות התורה המאוחדת,0,531,Avraham,Ravitz,Avraham Ravitz,0
563,מאיר פרוש,16,48,יהדות התורה המאוחדת,0,563,Meir,Porush,Meir Porush,0
528,יעקב ליצמן,16,48,יהדות התורה המאוחדת,0,528,Yakov,Litzman,Yakov Litzman,1
1059,גילה פינקלשטיין,16,49,"מפד""ל",1,1059,Gila,Finkelstein,Gila Finkelstein,0
763,אפי איתם,16,49,"מפד""ל",1,763,Effie,Eitam,Effie Eitam,0
521,זבולון אורלב,16,49,"מפד""ל",1,521,Zevulun,Orlev,Zevulun Orlev,1
524,שאול יהלום,16,49,"מפד""ל",1,524,Shaul,Yahalom,Shaul Yahalom,0
765,יצחק לוי,16,49,"מפד""ל",1,765,Yitzhak,Levy,Yitzhak Levy,0
1068,ניסן סלומיאנסקי,16,49,"מפד""ל",1,1068,Nissan,Slomiansky,Nissan Slomiansky,0
540,מוחמד ברכה,16,50,"חד""ש-תע""ל",0,540,Mohammad,Barakeh,Mohammad Barakeh,1
542,עסאם מח`ול,16,50,"חד""ש-תע""ל",0,542,Issam,Makhoul,Issam Makhoul,0
560,אחמד טיבי,16,50,"חד""ש-תע""ל",0,560,Ahmad,Tibi,Ahmad Tibi,0
1061,ג`מאל זחאלקה,16,51,"בל""ד-ברית לאומית דמוקרטית",0,1061,Jamal,Zahalka,Jamal Zahalka,0
1062,ואסל טאהא,16,51,"בל""ד-ברית לאומית דמוקרטית",0,1062,Wasil,Taha,Wasil Taha,0
558,עזמי בשארה,16,51,"בל""ד-ברית לאומית דמוקרטית",0,558,Azmi,Bishara,Azmi Bishara,1
549,טלב אלסאנע,16,52,"רע""מ-הרשימה הערבית המאוחדת",0,549,Talab,El-Sana,Talab El-Sana,0
550,עבד-אלמאלכ דהאמשה,16,52,"רע""מ-הרשימה הערבית המאוחדת",0,550,Abdulmalik,Dehamshe,Abdulmalik Dehamshe,1
527,שמואל הלפרט,16,424,אגודת ישראל,0,527,Shmuel,Halpert,Shmuel Halpert,0
460,ויצמן שירי,16,502,העבודה-מימד-עם אחד,0,460,Wizman,Shiry,Wizman Shiry,0
4155,טובה אילן,16,502,העבודה-מימד-עם אחד,0,4155,Tova,Ilan,Tova Ilan,0
4156,רונן צור,16,502,העבודה-מימד-עם אחד,0,4156,Ronen,Tzur,Ronen Tzur,0
4175,דני קורן,16,502,העבודה-מימד-עם אחד,0,4175,Dani,Koren,Dani Koren,0
4235,נטע דוברין,16,502,העבודה-מימד-עם אחד,0,4235,Neta,Dobrin,Neta Dobrin,0
4217,אסתרינה טרטמן,16,590,ישראל ביתנו,1,4217,Esterina,Tartman,Esterina Tartman,0
